,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
79,-892373463353337935,Chameleon Powder Chameleons Pigment for Nail polish eye shadow and cosmetics Magic Discolor Powder,Pigment,Chemicals,0.2,50.0,grams,4.9,110000.0
80,-892373463353337935,Chameleon Powder Chameleons Pigment for Nail polish eye shadow and cosmetics Magic Discolor Powder,Pigment,Chemicals,0.17,1000.0,grams,4.9,110000.0
81,-892373463353337935,Chameleon Powder Chameleons Pigment for Nail polish eye shadow and cosmetics Magic Discolor Powder,Pigment,Chemicals,0.15,5000.0,grams,4.9,110000.0
82,5800066140553370681,Cosmetics Highly aurora colorshift chameleon pigmented eyeshadow Loose Glitter Chameleon Powder,Pigment,Chemicals,0.25,50.0,grams,4.8,10000.0
83,5800066140553370681,Cosmetics Highly aurora colorshift chameleon pigmented eyeshadow Loose Glitter Chameleon Powder,Pigment,Chemicals,0.23,100.0,grams,4.8,10000.0
84,5800066140553370681,Cosmetics Highly aurora colorshift chameleon pigmented eyeshadow Loose Glitter Chameleon Powder,Pigment,Chemicals,0.2,1000.0,grams,4.8,10000.0
85,7245971612763603853,Non Toxic Organic and Inorganic Pigment Powder for Cosmetic Lapis Lazuli Stone for Wholesale Made in Pakistan High Quality 10,Pigment,Chemicals,N/A,N/A,N/A,,
86,-3893121658310574050,LANXESS BAYFERROX Iron oxide Red High temperature resistant for plastic coatings paint pigment Red 101,Pigment,Chemicals,6.13,929.0,kilograms,5.0,700.0
87,-3893121658310574050,LANXESS BAYFERROX Iron oxide Red High temperature resistant for plastic coatings paint pigment Red 101,Pigment,Chemicals,5.41,1029.0,kilograms,5.0,700.0
88,-3893121658310574050,LANXESS BAYFERROX Iron oxide Red High temperature resistant for plastic coatings paint pigment Red 101,Pigment,Chemicals,4.21,1229.0,kilograms,5.0,700.0
89,-2503680690820080113,Hot Sale Epoxy Pigment Color Fine Manual DIY Crafts Making Epoxy Resin Pigment,Pigment,Chemicals,2.98,24.0,pieces,4.8,410000.0
90,-2503680690820080113,Hot Sale Epoxy Pigment Color Fine Manual DIY Crafts Making Epoxy Resin Pigment,Pigment,Chemicals,2.85,1000.0,pieces,4.8,410000.0
91,-2503680690820080113,Hot Sale Epoxy Pigment Color Fine Manual DIY Crafts Making Epoxy Resin Pigment,Pigment,Chemicals,2.69,2000.0,pieces,4.8,410000.0
92,-2503680690820080113,Hot Sale Epoxy Pigment Color Fine Manual DIY Crafts Making Epoxy Resin Pigment,Pigment,Chemicals,2.5,5000.0,pieces,4.8,410000.0
93,7320631527273025150,Wholesale Temperature Color Chang to thermotropic Pigment Powder,Pigment,Chemicals,20.45,1.0,bags,4.9,140000.0
94,-1473383484906641293,Bulk 64 Colors Glitter Pearl Pigment Metallic Color Mica Powder For Candle Soap Making Epoxy Resin Tumbler,Pigment,Chemicals,"['$0.01/piece', '']",N/A,N/A,4.9,180000.0
95,-5037106451660316876,Chinese factory white reflective pigment Professional reflective glass beads powder wholesale reflective powder for screen print,Pigment,Chemicals,37.14,1.0,kilograms,5.0,80000.0
96,-7526740138415562533,Liquid Epoxy Resin Pigment,Pigment,Chemicals,"['$4.00/piece', '']",N/A,N/A,5.0,70000.0
97,1956808485602310724,20 Colors Safe Epoxy Resin Pigment Translucent Liquid Resin Dye Colorant for DIY Jewelry Making Resin Art Coloring,Pigment,Chemicals,0.28,500.0,pieces,4.9,40000.0
98,1956808485602310724,20 Colors Safe Epoxy Resin Pigment Translucent Liquid Resin Dye Colorant for DIY Jewelry Making Resin Art Coloring,Pigment,Chemicals,0.25,1000.0,pieces,4.9,40000.0
99,1956808485602310724,20 Colors Safe Epoxy Resin Pigment Translucent Liquid Resin Dye Colorant for DIY Jewelry Making Resin Art Coloring,Pigment,Chemicals,0.22,2000.0,pieces,4.9,40000.0
100,-4896757497672130061,China pigment manufacturer Universal/Fluorescence/Shining liquid color paste Silicone Pigment,Pigment,Chemicals,"['$18.00/kilogram', '']",N/A,N/A,4.9,160000.0
101,3994919281782668059,pigment for pvc pigment for polypropylene,Pigment,Chemicals,N/A,N/A,N/A,5.0,670000.0
102,-3271315976969635525,Ever bright powder iron oxide pigment,Pigment,Chemicals,800.0,50.0,bags,5.0,460000.0
103,-3271315976969635525,Ever bright powder iron oxide pigment,Pigment,Chemicals,790.0,200.0,bags,5.0,460000.0
104,-3271315976969635525,Ever bright powder iron oxide pigment,Pigment,Chemicals,785.0,500.0,bags,5.0,460000.0
105,-808541899465839166,CNMI Pearl Powder Mica Pigment Powder for Epoxy Resin Color Candle Making Soap Lip Gloss Making Cosmetic Grade,Pigment,Chemicals,15.85,1.0,kilograms,4.9,30000.0
106,-808541899465839166,CNMI Pearl Powder Mica Pigment Powder for Epoxy Resin Color Candle Making Soap Lip Gloss Making Cosmetic Grade,Pigment,Chemicals,15.5,5000.0,kilograms,4.9,30000.0
107,-808541899465839166,CNMI Pearl Powder Mica Pigment Powder for Epoxy Resin Color Candle Making Soap Lip Gloss Making Cosmetic Grade,Pigment,Chemicals,14.75,100000.0,kilograms,4.9,30000.0
108,-808541899465839166,CNMI Pearl Powder Mica Pigment Powder for Epoxy Resin Color Candle Making Soap Lip Gloss Making Cosmetic Grade,Pigment,Chemicals,14.35,200000.0,kilograms,4.9,30000.0
109,3328308311935639181,Low Price Iron Oxide Pigment Red Yellow Black Green Blue Colors for Coating and Leather Pigment Use,Pigment,Chemicals,0.75,1.0,kilograms,3.8,30000.0
110,3328308311935639181,Low Price Iron Oxide Pigment Red Yellow Black Green Blue Colors for Coating and Leather Pigment Use,Pigment,Chemicals,0.65,10.0,kilograms,3.8,30000.0
111,3328308311935639181,Low Price Iron Oxide Pigment Red Yellow Black Green Blue Colors for Coating and Leather Pigment Use,Pigment,Chemicals,0.5,30.0,kilograms,3.8,30000.0
112,-1769739295460112275,Red Oxide Pigment for Concrete and Painting,Pigment,Chemicals,N/A,10.0,tons,5.0,40000.0
113,-1769739295460112275,Red Oxide Pigment for Concrete and Painting,Pigment,,N/A,25.0,tons,5.0,40000.0
114,-1769739295460112275,Red Oxide Pigment for Concrete and Painting,Pigment,,800.0,100.0,tons,5.0,40000.0
115,5774339585977459773,Natural Mineral Mica Powder DIY Pearlized Dye Colorant Pearl Powder Pigment,Pigment,Chemicals,600.0,1.0,kilograms,4.8,640000.0
116,5774339585977459773,Natural Mineral Mica Powder DIY Pearlized Dye Colorant Pearl Powder Pigment,Pigment,Chemicals,580.0,50.0,kilograms,4.8,640000.0
117,5774339585977459773,Natural Mineral Mica Powder DIY Pearlized Dye Colorant Pearl Powder Pigment,Pigment,Chemicals,500.0,100.0,kilograms,4.8,640000.0
118,-6492441502283546121,titanium dioxide liquid pigment,Pigment,Chemicals,N/A,N/A,N/A,,
119,6836276083266985394,"Caixuan Cheap Pigment Mirror Effect Powder Serie, Chrome Pigment Kit, Mirror Effect Pigment Cosmetic Pigment Inorganic Pigment",Pigment,Chemicals,N/A,N/A,N/A,4.9,1500000.0
120,7785722678236158613,Doreme Permanent Makeup Pigment Korea Iron Oxide Organic Pigment Three-dimensional Diamond Luster Effect Pigments Food Coloring,Pigment,Chemicals,"['$45.00/kilogram', '']",N/A,N/A,5.0,340000.0
121,1118868630661782488,Rainwood newest batch 99% pearl powder hot selling pearl pigment powder pure pearl powder with fast shipping,Pigment,Chemicals,"['$24.00/kilogram', '']",N/A,N/A,4.6,1300000.0
122,-5120040670443064653,Lithopone pigment Powder B311 with lowest price,Pigment,Chemicals,N/A,N/A,N/A,,130000.0
123,3077434678048161548,Cosmetic Recolored Mica Pearl Sparkling Pigment Epoxy Resin Color Pigment Mica Powder,Pigment,Chemicals,"['$1.50/piece', '']",N/A,N/A,4.6,140000.0
124,-9049482438851484881,China Industry Color Iron Oxide Yellow Pigments Powder Price Per Ton,Pigment,Chemicals,36.95,1.0,cubic,4.8,5000.0
125,-9049482438851484881,China Industry Color Iron Oxide Yellow Pigments Powder Price Per Ton,Pigment,Chemicals,30.26,10.0,cubic,4.8,5000.0
126,-9049482438851484881,China Industry Color Iron Oxide Yellow Pigments Powder Price Per Ton,Pigment,Chemicals,21.36,100.0,cubic,4.8,5000.0
127,-5456871855334800384,Great Effective Organic Pigment Powder CAS 84632-65-5 Pigment Red 254,Pigment,Chemicals,N/A,N/A,N/A,,900.0
128,7427566072506345530,buy inorganic ultramarine blue 462 matte pigment oxide blue coloring mica powder,Pigment,Chemicals,2.3,100.0,kilograms,5.0,6300000.0
129,7427566072506345530,buy inorganic ultramarine blue 462 matte pigment oxide blue coloring mica powder,Pigment,Chemicals,1.95,10000.0,kilograms,5.0,6300000.0
130,3958764665195743713,fe2o3 industrial grade concrete cement colorant black color pigment powder hyrox iron oxide,Pigment,Chemicals,N/A,N/A,N/A,,10000.0
131,7393324892010230933,Natural 12001-26-2 food Cosmetic grade Color Pearl Powder pearlescent pigment,Pigment,Chemicals,"['$38.00/kilogram', '']",N/A,N/A,4.9,300000.0
132,7345851340079755061,Ceramic Pigment Grade Chrome Oxide Green,Pigment,Chemicals,"['$100.00/kilogram', '']",N/A,N/A,5.0,230000.0
