,Unnamed: 0,ID,title,product_type,macro_category,prices,quantities,unit_of_measure,score,total_annual_revenues
82,82.0,5.800066140553371e+18,Cosmetics Highly aurora colorshift chameleon pigmented eyeshadow Loose Glitter Chameleon Powder,Pigment,Chemicals,0.25,50.0,grams,4.8,10000.0
83,83.0,5.800066140553371e+18,Cosmetics Highly aurora colorshift chameleon pigmented eyeshadow Loose Glitter Chameleon Powder,Pigment,Chemicals,0.23,100.0,grams,4.8,10000.0
84,84.0,5.800066140553371e+18,Cosmetics Highly aurora colorshift chameleon pigmented eyeshadow Loose Glitter Chameleon Powder,Pigment,Chemicals,0.2,1000.0,grams,4.8,10000.0
85,85.0,7.245971612763604e+18,Non Toxic Organic and Inorganic Pigment Powder for Cosmetic Lapis Lazuli Stone for Wholesale Made in Pakistan High Quality 10,Pigment,Chemicals,,,,,
86,86.0,-3.893121658310574e+18,LANXESS BAYFERROX Iron oxide Red High temperature resistant for plastic coatings paint pigment Red 101,Pigment,Chemicals,6.13,929.0,kilograms,5.0,700.0
87,87.0,-3.893121658310574e+18,LANXESS BAYFERROX Iron oxide Red High temperature resistant for plastic coatings paint pigment Red 101,Pigment,Chemicals,5.41,1029.0,kilograms,5.0,700.0
88,88.0,-3.893121658310574e+18,LANXESS BAYFERROX Iron oxide Red High temperature resistant for plastic coatings paint pigment Red 101,Pigment,Chemicals,4.21,1229.0,kilograms,5.0,700.0
89,89.0,-2.50368069082008e+18,Hot Sale Epoxy Pigment Color Fine Manual DIY Crafts Making Epoxy Resin Pigment,Pigment,Chemicals,2.98,24.0,pieces,4.8,410000.0
90,90.0,-2.50368069082008e+18,Hot Sale Epoxy Pigment Color Fine Manual DIY Crafts Making Epoxy Resin Pigment,Pigment,Chemicals,2.85,1000.0,pieces,4.8,410000.0
91,91.0,-2.50368069082008e+18,Hot Sale Epoxy Pigment Color Fine Manual DIY Crafts Making Epoxy Resin Pigment,Pigment,Chemicals,2.69,2000.0,pieces,4.8,410000.0
92,92.0,-2.50368069082008e+18,Hot Sale Epoxy Pigment Color Fine Manual DIY Crafts Making Epoxy Resin Pigment,Pigment,Chemicals,2.5,5000.0,pieces,4.8,410000.0
93,93.0,7.320631527273026e+18,Wholesale Temperature Color Chang to thermotropic Pigment Powder,Pigment,Chemicals,20.45,1.0,bags,4.9,140000.0
94,94.0,-1.4733834849066414e+18,Bulk 64 Colors Glitter Pearl Pigment Metallic Color Mica Powder For Candle Soap Making Epoxy Resin Tumbler,Pigment,Chemicals,"['$0.01/piece', '']",,,4.9,180000.0
95,95.0,-5.037106451660317e+18,Chinese factory white reflective pigment Professional reflective glass beads powder wholesale reflective powder for screen print,Pigment,Chemicals,37.14,1.0,kilograms,5.0,80000.0
96,96.0,-7.526740138415563e+18,Liquid Epoxy Resin Pigment,Pigment,Chemicals,"['$4.00/piece', '']",,,5.0,70000.0
97,97.0,1.9568084856023107e+18,20 Colors Safe Epoxy Resin Pigment Translucent Liquid Resin Dye Colorant for DIY Jewelry Making Resin Art Coloring,Pigment,Chemicals,0.28,500.0,pieces,4.9,40000.0
98,98.0,1.9568084856023107e+18,20 Colors Safe Epoxy Resin Pigment Translucent Liquid Resin Dye Colorant for DIY Jewelry Making Resin Art Coloring,Pigment,Chemicals,0.25,1000.0,pieces,4.9,40000.0
99,99.0,1.9568084856023107e+18,20 Colors Safe Epoxy Resin Pigment Translucent Liquid Resin Dye Colorant for DIY Jewelry Making Resin Art Coloring,Pigment,Chemicals,0.22,2000.0,pieces,4.9,40000.0
100,100.0,-4.896757497672131e+18,China pigment manufacturer Universal/Fluorescence/Shining liquid color paste Silicone Pigment,Pigment,Chemicals,"['$18.00/kilogram', '']",,,4.9,160000.0
101,101.0,3.9949192817826683e+18,pigment for pvc pigment for polypropylene,Pigment,Chemicals,,,,5.0,670000.0
102,102.0,-3.2713159769696353e+18,Ever bright powder iron oxide pigment,Pigment,Chemicals,800.0,50.0,bags,5.0,460000.0
103,103.0,-3.2713159769696353e+18,Ever bright powder iron oxide pigment,Pigment,Chemicals,790.0,200.0,bags,5.0,460000.0
